Age Group,Download Date,Funnel,Platform,Users
Not specified,10/11/2021,Downloaded,ios,8
18-24,25/09/2021,Downloaded,ios,6
18-24,24/11/2021,Downloaded,android,7
35-44,19/05/2021,Downloaded,ios,8
25-34,27/08/2021,Downloaded,android,7
35-44,10/07/2021,Downloaded,ios,11
Unknown,12/09/2021,Downloaded,ios,17
Unknown,22/02/2021,Downloaded,web,2
Not specified,16/02/2021,Downloaded,android,4
18-24,07/12/2021,Downloaded,android,2
35-44,18/12/2021,Downloaded,ios,5
Unknown,15/10/2021,Downloaded,web,2
Unknown,27/03/2021,Downloaded,android,10
Unknown,18/12/2021,Downloaded,web,1
35-44,10/06/2021,Downloaded,web,1
Unknown,11/01/2021,Downloaded,ios,2
Unknown,01/10/2021,Downloaded,web,1
25-34,01/01/2021,Downloaded,android,4
18-24,06/11/2021,Downloaded,ios,4
35-44,29/06/2021,Downloaded,ios,5
Not specified,05/01/2021,Downloaded,android,4
35-44,15/07/2021,Downloaded,web,1
35-44,10/05/2021,Downloaded,android,3
Unknown,20/10/2021,Downloaded,android,2
Unknown,27/08/2021,Downloaded,web,2
35-44,24/02/2021,Downloaded,android,3
45-54,31/05/2021,Downloaded,android,2
18-24,15/09/2021,Downloaded,android,2
25-34,26/06/2021,Downloaded,web,3
35-44,01/07/2021,Downloaded,android,4
35-44,20/12/2021,Downloaded,android,2
45-54,13/04/2021,Downloaded,ios,2
25-34,01/09/2021,Downloaded,ios,4
45-54,23/06/2021,Downloaded,web,1
35-44,08/06/2021,Downloaded,ios,5
25-34,21/09/2021,Downloaded,android,1
Not specified,10/01/2021,Downloaded,android,5
Unknown,28/06/2021,Downloaded,android,4
35-44,15/04/2021,Downloaded,ios,14
18-24,10/11/2021,Downloaded,android,1
25-34,27/03/2021,Downloaded,android,2
35-44,22/09/2021,Downloaded,ios,8
Not specified,29/12/2021,Downloaded,android,8
Unknown,03/04/2021,Downloaded,web,1
35-44,15/01/2021,Downloaded,android,2
25-34,21/08/2021,Downloaded,ios,7
25-34,04/10/2021,Downloaded,ios,10
Not specified,29/11/2021,Downloaded,ios,11
Unknown,11/12/2021,Downloaded,web,2
Not specified,03/11/2021,Downloaded,android,3
Not specified,23/04/2021,Downloaded,ios,10
45-54,15/10/2021,Downloaded,ios,5
Not specified,06/07/2021,Downloaded,android,8
Not specified,09/04/2021,Downloaded,ios,7
Unknown,21/05/2021,Downloaded,android,6
Unknown,31/03/2021,Downloaded,ios,4
Not specified,24/05/2021,Downloaded,android,6
Unknown,12/07/2021,Downloaded,android,3
Unknown,12/02/2021,Downloaded,ios,14
45-54,26/07/2021,Downloaded,ios,1
18-24,01/03/2021,Downloaded,android,1
Not specified,08/05/2021,Downloaded,android,6
25-34,24/12/2021,Downloaded,android,2
45-54,05/12/2021,Downloaded,ios,4
35-44,04/03/2021,Downloaded,web,2
Not specified,15/06/2021,Downloaded,ios,14
Not specified,11/10/2021,Downloaded,android,5
Unknown,29/07/2021,Downloaded,android,4
25-34,04/08/2021,Downloaded,ios,4
18-24,04/10/2021,Downloaded,android,1
Not specified,12/11/2021,Downloaded,ios,10
Not specified,05/01/2021,Downloaded,ios,16
Unknown,21/09/2021,Downloaded,android,4
35-44,04/08/2021,Downloaded,web,2
35-44,04/01/2021,Downloaded,ios,15
Not specified,28/03/2021,Downloaded,android,7
25-34,25/10/2021,Downloaded,android,4
Unknown,08/12/2021,Downloaded,ios,8
35-44,17/07/2021,Downloaded,web,1
Unknown,01/03/2021,Downloaded,web,1
Unknown,14/05/2021,Downloaded,ios,3
Not specified,07/12/2021,Downloaded,ios,8
45-54,04/09/2021,Downloaded,ios,3
Not specified,23/06/2021,Downloaded,ios,11
Not specified,19/09/2021,Downloaded,ios,14
45-54,24/03/2021,Downloaded,android,1
45-54,23/10/2021,Downloaded,android,1
25-34,09/05/2021,Downloaded,android,1
25-34,04/05/2021,Downloaded,web,1
35-44,26/04/2021,Downloaded,ios,7
35-44,17/04/2021,Downloaded,android,9
25-34,30/10/2021,Downloaded,ios,11
Not specified,15/03/2021,Downloaded,web,1
Unknown,17/12/2021,Downloaded,ios,8
Unknown,16/03/2021,Downloaded,ios,7
Not specified,08/02/2021,Downloaded,web,4
25-34,01/03/2021,Downloaded,android,3
18-24,03/02/2021,Downloaded,ios,3
Not specified,10/10/2021,Downloaded,ios,8
25-34,20/03/2021,Downloaded,ios,4
Unknown,02/08/2021,Downloaded,web,2
25-34,11/11/2021,Downloaded,ios,10
25-34,06/10/2021,Downloaded,ios,5
Not specified,15/11/2021,Downloaded,android,5
45-54,01/10/2021,Downloaded,android,1
45-54,22/03/2021,Downloaded,web,1
Unknown,12/03/2021,Downloaded,ios,9
Not specified,08/09/2021,Downloaded,android,4
Not specified,16/11/2021,Downloaded,ios,10
25-34,25/04/2021,Downloaded,android,2
Not specified,02/05/2021,Downloaded,ios,14
18-24,15/12/2021,Downloaded,android,1
Not specified,23/12/2021,Downloaded,android,7
35-44,18/10/2021,Downloaded,ios,7
25-34,10/04/2021,Downloaded,android,2
18-24,04/09/2021,Downloaded,ios,5
45-54,27/10/2021,Downloaded,web,1
Not specified,09/06/2021,Downloaded,ios,5
45-54,28/12/2021,Downloaded,ios,5
Unknown,19/01/2021,Downloaded,ios,13
35-44,13/07/2021,Downloaded,android,5
Not specified,09/08/2021,Downloaded,web,2
Not specified,17/08/2021,Downloaded,web,1
Not specified,09/04/2021,Downloaded,android,5
Not specified,16/09/2021,Downloaded,web,2
35-44,13/10/2021,Downloaded,android,4
35-44,28/07/2021,Downloaded,ios,4
25-34,11/06/2021,Downloaded,web,1
35-44,23/11/2021,Downloaded,android,5
Not specified,17/05/2021,Downloaded,ios,11
35-44,17/04/2021,Downloaded,ios,5
Not specified,14/04/2021,Downloaded,android,3
18-24,30/03/2021,Downloaded,android,2
35-44,14/10/2021,Downloaded,ios,9
35-44,09/12/2021,Downloaded,web,1
Not specified,02/11/2021,Downloaded,android,8
18-24,21/08/2021,Downloaded,ios,3
Unknown,31/08/2021,Downloaded,ios,11
25-34,22/09/2021,Downloaded,android,2
35-44,18/08/2021,Downloaded,android,2
Not specified,03/08/2021,Downloaded,web,2
18-24,11/02/2021,Downloaded,web,2
45-54,26/07/2021,Downloaded,android,2
25-34,24/03/2021,Downloaded,android,3
45-54,15/08/2021,Downloaded,android,2
Unknown,04/07/2021,Downloaded,ios,3
45-54,06/05/2021,Downloaded,ios,1
18-24,19/12/2021,Downloaded,ios,3
Not specified,17/02/2021,Downloaded,android,6
18-24,23/03/2021,Downloaded,ios,2
Not specified,13/11/2021,Downloaded,ios,7
Unknown,07/11/2021,Downloaded,android,6
Not specified,07/06/2021,Downloaded,ios,15
45-54,31/01/2021,Downloaded,web,2
18-24,03/06/2021,Downloaded,android,3
35-44,17/09/2021,Downloaded,ios,2
35-44,20/06/2021,Downloaded,android,3
35-44,15/11/2021,Downloaded,ios,12
Not specified,03/07/2021,Downloaded,ios,14
Not specified,23/01/2021,Downloaded,android,9
Not specified,16/04/2021,Downloaded,ios,16
25-34,28/11/2021,Downloaded,android,3
35-44,07/10/2021,Downloaded,web,2
35-44,15/02/2021,Downloaded,web,2
45-54,25/04/2021,Downloaded,ios,5
Not specified,27/06/2021,Downloaded,ios,13
25-34,30/08/2021,Downloaded,android,4
18-24,09/08/2021,Downloaded,android,4
45-54,11/04/2021,Downloaded,android,4
25-34,17/02/2021,Downloaded,ios,5
Unknown,01/08/2021,Downloaded,ios,7
35-44,18/11/2021,Downloaded,ios,5
35-44,27/03/2021,Downloaded,web,3
Not specified,24/02/2021,Downloaded,ios,6
25-34,01/10/2021,Downloaded,android,4
35-44,17/05/2021,Downloaded,android,2
Unknown,25/03/2021,Downloaded,ios,14
Not specified,08/08/2021,Downloaded,web,1
Not specified,29/09/2021,Downloaded,web,2
45-54,18/01/2021,Downloaded,ios,2
45-54,01/02/2021,Downloaded,android,2
45-54,31/07/2021,Downloaded,ios,4
35-44,09/11/2021,Downloaded,ios,10
35-44,06/09/2021,Downloaded,android,6
Not specified,26/02/2021,Downloaded,android,7
25-34,19/03/2021,Downloaded,android,5
Not specified,26/12/2021,Downloaded,android,4
Not specified,22/03/2021,Downloaded,android,2
18-24,26/02/2021,Downloaded,web,2
18-24,19/05/2021,Downloaded,ios,5
Not specified,29/05/2021,Downloaded,android,6
35-44,22/01/2021,Downloaded,ios,5
45-54,24/09/2021,Downloaded,android,2
18-24,08/09/2021,Downloaded,ios,3
25-34,22/05/2021,Downloaded,ios,6
25-34,16/08/2021,Downloaded,ios,10
25-34,25/12/2021,Downloaded,ios,6
Unknown,27/03/2021,Downloaded,ios,9
Not specified,29/06/2021,Downloaded,web,4
Not specified,05/10/2021,Downloaded,ios,14
45-54,02/06/2021,Downloaded,android,1
35-44,27/03/2021,Downloaded,android,4
Unknown,04/06/2021,Downloaded,ios,11
Unknown,19/09/2021,Downloaded,ios,10
25-34,21/10/2021,Downloaded,ios,7
Not specified,18/12/2021,Downloaded,ios,7
25-34,22/06/2021,Downloaded,web,5
35-44,04/08/2021,Downloaded,android,4
25-34,05/07/2021,Downloaded,ios,6
18-24,16/03/2021,Downloaded,android,1
Not specified,15/06/2021,Downloaded,android,7
45-54,10/10/2021,Downloaded,android,4
Not specified,19/03/2021,Downloaded,web,2
Unknown,01/08/2021,Downloaded,web,3
35-44,14/01/2021,Downloaded,ios,5
45-54,27/05/2021,Downloaded,android,2
Unknown,30/09/2021,Downloaded,ios,12
18-24,12/03/2021,Downloaded,ios,5
Not specified,11/03/2021,Downloaded,ios,14
Not specified,31/03/2021,Downloaded,web,4
45-54,11/05/2021,Downloaded,ios,4
Unknown,15/02/2021,Downloaded,web,1
Unknown,18/11/2021,Downloaded,android,1
18-24,30/07/2021,Downloaded,android,1
18-24,19/10/2021,Downloaded,ios,3
Not specified,29/03/2021,Downloaded,ios,10
18-24,05/05/2021,Downloaded,web,2
45-54,09/11/2021,Downloaded,web,2
25-34,12/01/2021,Downloaded,ios,5
25-34,14/02/2021,Downloaded,ios,6
45-54,30/09/2021,Downloaded,ios,2
25-34,12/04/2021,Downloaded,web,2
Unknown,24/12/2021,Downloaded,ios,11
Unknown,23/12/2021,Downloaded,android,4
25-34,16/09/2021,Downloaded,android,1
Unknown,25/05/2021,Downloaded,android,5
Not specified,24/05/2021,Downloaded,ios,8
25-34,01/09/2021,Downloaded,web,1
Not specified,29/10/2021,Downloaded,web,3
45-54,22/03/2021,Downloaded,ios,5
25-34,13/05/2021,Downloaded,ios,6
45-54,09/12/2021,Downloaded,ios,2
Not specified,12/11/2021,Downloaded,web,3
18-24,02/10/2021,Downloaded,ios,5
25-34,08/07/2021,Downloaded,ios,10
25-34,11/06/2021,Downloaded,ios,6
Unknown,06/09/2021,Downloaded,android,4
Not specified,30/10/2021,Downloaded,android,4
Unknown,24/07/2021,Downloaded,ios,9
Unknown,17/06/2021,Downloaded,android,8
25-34,17/02/2021,Downloaded,android,6
35-44,22/11/2021,Downloaded,android,2
45-54,15/10/2021,Downloaded,android,2
18-24,09/03/2021,Downloaded,android,3
35-44,05/09/2021,Downloaded,ios,13
25-34,07/12/2021,Downloaded,android,1
25-34,31/07/2021,Downloaded,android,2
35-44,17/06/2021,Downloaded,ios,9
Unknown,18/03/2021,Downloaded,ios,10
18-24,27/12/2021,Downloaded,android,2
Not specified,15/04/2021,Downloaded,web,2
35-44,19/02/2021,Downloaded,android,5
25-34,03/11/2021,Downloaded,android,5
25-34,06/04/2021,Downloaded,android,4
18-24,24/08/2021,Downloaded,ios,5
25-34,15/05/2021,Downloaded,ios,5
25-34,17/04/2021,Downloaded,android,9
Not specified,25/04/2021,Downloaded,web,6
45-54,19/12/2021,Downloaded,android,1
Not specified,02/12/2021,Downloaded,android,4
25-34,10/01/2021,Downloaded,ios,6
Not specified,15/01/2021,Downloaded,android,6
35-44,08/07/2021,Downloaded,web,2
35-44,13/03/2021,Downloaded,ios,10
45-54,30/10/2021,Downloaded,android,2
Not specified,08/02/2021,Downloaded,ios,10
Unknown,17/07/2021,Downloaded,ios,5
18-24,02/03/2021,Downloaded,android,2
Not specified,16/08/2021,Downloaded,android,6
35-44,13/06/2021,Downloaded,android,9
35-44,12/12/2021,Downloaded,ios,9
25-34,06/07/2021,Downloaded,android,5
18-24,28/09/2021,Downloaded,ios,2
18-24,03/07/2021,Downloaded,ios,3
Not specified,29/09/2021,Downloaded,android,6
Not specified,26/11/2021,Downloaded,android,7
18-24,14/02/2021,Downloaded,android,2
25-34,06/06/2021,Downloaded,android,5
25-34,23/05/2021,Downloaded,web,1
45-54,30/10/2021,Downloaded,ios,2
45-54,21/05/2021,Downloaded,ios,6
45-54,09/10/2021,Downloaded,android,5
Not specified,10/06/2021,Downloaded,web,1
45-54,12/04/2021,Downloaded,web,3
Not specified,10/07/2021,Downloaded,web,2
Not specified,27/12/2021,Downloaded,ios,13
18-24,30/08/2021,Downloaded,android,1
45-54,24/10/2021,Downloaded,ios,2
35-44,19/04/2021,Downloaded,ios,8
18-24,05/09/2021,Downloaded,web,1
45-54,04/05/2021,Downloaded,android,1
35-44,21/06/2021,Downloaded,android,3
35-44,11/03/2021,Downloaded,android,6
25-34,16/05/2021,Downloaded,ios,8
25-34,14/09/2021,Downloaded,android,3
25-34,15/04/2021,Downloaded,android,2
18-24,21/02/2021,Downloaded,ios,3
25-34,30/08/2021,Downloaded,ios,5
35-44,27/12/2021,Downloaded,android,3
35-44,27/06/2021,Downloaded,web,2
18-24,12/09/2021,Downloaded,android,2
45-54,27/09/2021,Downloaded,ios,2
Not specified,24/12/2021,Downloaded,android,8
25-34,08/05/2021,Downloaded,web,2
45-54,16/12/2021,Downloaded,android,1
35-44,09/06/2021,Downloaded,android,6
25-34,24/09/2021,Downloaded,ios,9
18-24,04/03/2021,Downloaded,ios,5
18-24,24/03/2021,Downloaded,android,1
45-54,09/04/2021,Downloaded,android,2
Unknown,16/02/2021,Downloaded,ios,15
Not specified,21/03/2021,Downloaded,android,7
45-54,07/04/2021,Downloaded,ios,5
35-44,06/07/2021,Downloaded,android,3
45-54,23/07/2021,Downloaded,android,2
Not specified,25/04/2021,Downloaded,android,6
Not specified,15/06/2021,Downloaded,web,2
18-24,13/11/2021,Downloaded,ios,2
45-54,19/05/2021,Downloaded,android,1
45-54,10/11/2021,Downloaded,android,3
45-54,09/05/2021,Downloaded,web,1
45-54,04/12/2021,Downloaded,ios,3
45-54,22/04/2021,Downloaded,android,3
25-34,21/06/2021,Downloaded,android,1
Not specified,06/07/2021,Downloaded,ios,11
35-44,10/04/2021,Downloaded,android,3
25-34,15/09/2021,Downloaded,ios,8
Not specified,04/03/2021,Downloaded,ios,13
45-54,26/02/2021,Downloaded,ios,5
Not specified,23/07/2021,Downloaded,ios,6
18-24,08/03/2021,Downloaded,ios,1
45-54,13/06/2021,Downloaded,android,2
Not specified,20/02/2021,Downloaded,web,4
25-34,10/09/2021,Downloaded,android,4
18-24,08/05/2021,Downloaded,android,2
Not specified,27/01/2021,Downloaded,ios,12
35-44,04/12/2021,Downloaded,web,5
Not specified,02/09/2021,Downloaded,web,1
Not specified,02/04/2021,Downloaded,web,2
Unknown,30/07/2021,Downloaded,android,4
35-44,06/01/2021,Downloaded,web,2
Unknown,29/09/2021,Downloaded,android,4
Not specified,04/10/2021,Downloaded,web,1
Unknown,08/04/2021,Downloaded,web,1
Not specified,01/08/2021,Downloaded,android,1
45-54,20/08/2021,Downloaded,android,2
35-44,04/06/2021,Downloaded,web,5
Unknown,27/12/2021,Downloaded,android,5
Not specified,10/05/2021,Downloaded,ios,11
Unknown,31/12/2021,Downloaded,ios,7
18-24,12/08/2021,Downloaded,web,1
18-24,14/09/2021,Downloaded,ios,2
Not specified,04/10/2021,Downloaded,ios,10
25-34,14/08/2021,Downloaded,ios,4
35-44,12/06/2021,Downloaded,android,3
35-44,21/05/2021,Downloaded,ios,13
Unknown,28/09/2021,Downloaded,web,4
Unknown,23/01/2021,Downloaded,web,2
45-54,23/07/2021,Downloaded,ios,2
35-44,11/09/2021,Downloaded,ios,10
45-54,22/04/2021,Downloaded,web,1
18-24,12/02/2021,Downloaded,ios,5
45-54,09/01/2021,Downloaded,ios,1
Unknown,24/10/2021,Downloaded,android,4
Unknown,11/09/2021,Downloaded,android,3
18-24,10/07/2021,Downloaded,android,2
Unknown,22/11/2021,Downloaded,ios,3
Not specified,07/02/2021,Downloaded,android,6
Not specified,22/04/2021,Downloaded,android,5
18-24,26/04/2021,Downloaded,ios,4
Unknown,15/03/2021,Downloaded,ios,6
Not specified,04/06/2021,Downloaded,web,6
35-44,15/04/2021,Downloaded,android,3
35-44,23/06/2021,Downloaded,web,1
Unknown,02/10/2021,Downloaded,web,2
Not specified,07/09/2021,Downloaded,ios,10
Not specified,20/03/2021,Downloaded,ios,14
Not specified,17/04/2021,Downloaded,ios,14
25-34,27/07/2021,Downloaded,ios,8
Unknown,31/01/2021,Downloaded,ios,13
Not specified,21/07/2021,Downloaded,ios,15
18-24,05/10/2021,Downloaded,android,1
Unknown,18/05/2021,Downloaded,android,5
Unknown,05/12/2021,Downloaded,android,4
Not specified,23/08/2021,Downloaded,ios,4
Unknown,10/05/2021,Downloaded,android,5
25-34,03/10/2021,Downloaded,ios,3
18-24,15/03/2021,Downloaded,ios,6
Unknown,16/12/2021,Downloaded,ios,5
Unknown,01/02/2021,Downloaded,web,4
45-54,02/12/2021,Downloaded,android,2
Unknown,21/06/2021,Downloaded,android,8
18-24,28/09/2021,Downloaded,android,3
45-54,27/01/2021,Downloaded,ios,4
45-54,07/01/2021,Downloaded,android,2
Not specified,25/10/2021,Downloaded,web,2
45-54,29/04/2021,Downloaded,ios,5
18-24,20/03/2021,Downloaded,ios,1
Not specified,08/03/2021,Downloaded,ios,12
Not specified,14/07/2021,Downloaded,web,5
35-44,12/09/2021,Downloaded,web,2
35-44,02/04/2021,Downloaded,ios,7
18-24,02/10/2021,Downloaded,android,2
Not specified,01/06/2021,Downloaded,android,2
35-44,31/12/2021,Downloaded,ios,6
25-34,21/05/2021,Downloaded,android,1
35-44,19/08/2021,Downloaded,ios,6
45-54,28/04/2021,Downloaded,web,2
18-24,11/11/2021,Downloaded,ios,6
25-34,28/04/2021,Downloaded,ios,4
25-34,24/01/2021,Downloaded,android,4
25-34,20/05/2021,Downloaded,web,1
Not specified,06/12/2021,Downloaded,web,2
25-34,18/01/2021,Downloaded,android,2
Not specified,07/04/2021,Downloaded,ios,10
Unknown,09/02/2021,Downloaded,web,3
35-44,04/12/2021,Downloaded,android,3
25-34,01/06/2021,Downloaded,ios,3
Unknown,02/01/2021,Downloaded,android,4
45-54,17/05/2021,Downloaded,ios,4
25-34,03/03/2021,Downloaded,web,1
35-44,06/08/2021,Downloaded,ios,12
25-34,11/08/2021,Downloaded,ios,6
Not specified,11/08/2021,Downloaded,android,2
18-24,25/03/2021,Downloaded,ios,3
Not specified,16/04/2021,Downloaded,web,4
45-54,06/04/2021,Downloaded,android,2
Not specified,08/01/2021,Downloaded,ios,9
35-44,10/05/2021,Downloaded,web,1
25-34,19/10/2021,Downloaded,web,1
18-24,12/04/2021,Downloaded,ios,3
18-24,24/04/2021,Downloaded,ios,3
Unknown,04/05/2021,Downloaded,web,1
Not specified,27/12/2021,Downloaded,android,8
Unknown,17/11/2021,Downloaded,android,4
25-34,17/08/2021,Downloaded,android,3
45-54,25/09/2021,Downloaded,ios,2
Unknown,21/05/2021,Downloaded,web,2
18-24,07/08/2021,Downloaded,ios,5
18-24,14/05/2021,Downloaded,web,1
Unknown,08/03/2021,Downloaded,web,2
35-44,31/05/2021,Downloaded,web,2
35-44,10/10/2021,Downloaded,ios,12
45-54,08/01/2021,Downloaded,web,1
25-34,07/07/2021,Downloaded,ios,6
25-34,06/06/2021,Downloaded,ios,2
Unknown,06/03/2021,Downloaded,android,4
Not specified,13/02/2021,Downloaded,android,6
Not specified,09/12/2021,Downloaded,ios,10
Not specified,26/06/2021,Downloaded,ios,9
45-54,29/07/2021,Downloaded,web,1
Unknown,07/09/2021,Downloaded,ios,8
18-24,30/05/2021,Downloaded,android,2
Not specified,03/04/2021,Downloaded,android,5
Not specified,09/07/2021,Downloaded,android,2
45-54,18/06/2021,Downloaded,ios,4
45-54,30/07/2021,Downloaded,ios,4
35-44,02/05/2021,Downloaded,ios,3
25-34,07/09/2021,Downloaded,android,3
25-34,09/01/2021,Downloaded,android,1
Not specified,11/04/2021,Downloaded,web,3
18-24,29/06/2021,Downloaded,ios,4
Unknown,16/04/2021,Downloaded,web,3
35-44,01/09/2021,Downloaded,web,2
45-54,03/03/2021,Downloaded,ios,1
Unknown,27/04/2021,Downloaded,android,5
25-34,13/07/2021,Downloaded,web,1
18-24,19/05/2021,Downloaded,android,1
Unknown,05/03/2021,Downloaded,ios,10
Unknown,25/08/2021,Downloaded,android,1
35-44,26/02/2021,Downloaded,android,4
45-54,18/07/2021,Downloaded,android,2
Not specified,21/02/2021,Downloaded,android,3
25-34,24/05/2021,Downloaded,web,1
45-54,08/02/2021,Downloaded,android,1
Unknown,04/10/2021,Downloaded,web,3
Unknown,26/01/2021,Downloaded,ios,8
Not specified,05/12/2021,Downloaded,ios,14
18-24,28/02/2021,Downloaded,android,1
Not specified,16/12/2021,Downloaded,ios,6
35-44,30/03/2021,Downloaded,web,6
35-44,21/02/2021,Downloaded,web,1
Unknown,23/03/2021,Downloaded,ios,5
18-24,17/12/2021,Downloaded,ios,5
Not specified,01/05/2021,Downloaded,ios,10
45-54,22/11/2021,Downloaded,android,1
Unknown,09/06/2021,Downloaded,android,3
35-44,07/07/2021,Downloaded,android,7
35-44,14/03/2021,Downloaded,web,1
45-54,26/03/2021,Downloaded,ios,1
18-24,11/04/2021,Downloaded,ios,4
25-34,08/10/2021,Downloaded,android,4
Not specified,13/08/2021,Downloaded,ios,8
25-34,30/05/2021,Downloaded,ios,3
Not specified,26/11/2021,Downloaded,web,1
35-44,09/10/2021,Downloaded,ios,9
Unknown,29/04/2021,Downloaded,android,5
18-24,20/06/2021,Downloaded,android,1
45-54,31/07/2021,Downloaded,web,3
Not specified,19/01/2021,Downloaded,web,3
Unknown,05/11/2021,Downloaded,ios,7
18-24,14/07/2021,Downloaded,web,2
Unknown,25/09/2021,Downloaded,web,3
35-44,07/09/2021,Downloaded,web,4
35-44,20/05/2021,Downloaded,ios,6
25-34,25/12/2021,Downloaded,android,4
35-44,14/09/2021,Downloaded,web,2
35-44,04/01/2021,Downloaded,android,5
18-24,30/11/2021,Downloaded,android,2
35-44,10/11/2021,Downloaded,web,4
35-44,24/05/2021,Downloaded,android,1
Unknown,17/02/2021,Downloaded,android,7
18-24,05/09/2021,Downloaded,android,1
35-44,18/08/2021,Downloaded,web,1
Unknown,06/10/2021,Downloaded,android,3
Not specified,01/06/2021,Downloaded,web,3
25-34,30/04/2021,Downloaded,android,2
35-44,21/03/2021,Downloaded,ios,4
18-24,11/04/2021,Downloaded,android,1
35-44,06/04/2021,Downloaded,ios,12
Unknown,03/07/2021,Downloaded,android,2
Unknown,06/07/2021,Downloaded,web,2
18-24,16/07/2021,Downloaded,ios,2
18-24,11/01/2021,Downloaded,web,1
Unknown,04/10/2021,Downloaded,ios,14
Unknown,24/05/2021,Downloaded,android,3
Unknown,05/09/2021,Downloaded,android,3
Unknown,01/05/2021,Downloaded,ios,6
Not specified,20/11/2021,Downloaded,ios,10
18-24,30/10/2021,Downloaded,android,2
Unknown,24/08/2021,Downloaded,ios,4
Unknown,19/12/2021,Downloaded,web,1
35-44,16/12/2021,Downloaded,ios,6
25-34,29/06/2021,Downloaded,web,1
Not specified,25/12/2021,Downloaded,ios,14
Not specified,25/01/2021,Downloaded,ios,9
